"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"48067","Cass, TX","2","Population (persons) 1/",30412,30134,30120,30065,30053,30088,30095,30176,30217,30297,30455,30275,30029,30236,30121,30141,30073,29980,30119
"48067","Cass, TX","3","Per capita personal income (dollars) 2/",21005,21228,21377,21919,23436,24084,24861,26545,28306,27858,30096,31885,32879,32877,34312,34742,34656,35274,36905
"48069","Castro, TX","1","Personal income (thousands of dollars)",227999,219842,245099,296896,265973,307949,270142,293750,295111,253303,362731,419726,365165,359990,432455,524098,361250,392486,327951
"48069","Castro, TX","2","Population (persons) 1/",8229,8155,8083,8037,7947,7908,7780,7737,7758,7856,8126,8095,8263,8122,7929,7797,7783,7760,7665
"48069","Castro, TX","3","Per capita personal income (dollars) 2/",27707,26958,30323,36941,33468,38941,34723,37967,38040,32243,44638,51850,44193,44323,54541,67218,46415,50578,42786
"48071","Chambers, TX","1","Personal income (thousands of dollars)",709123,742798,742447,779808,850897,898895,986759,1077868,1202903,1264381,1388322,1518565,1628097,1735705,1873088,1994606,2064852,2155859,2278642
"48071","Chambers, TX","2","Population (persons) 1/",26188,26811,27490,28021,28749,29388,29980,30714,31619,34230,35446,35687,36498,37362,38290,39068,40247,41399,42454
"48071","Chambers, TX","3","Per capita personal income (dollars) 2/",27078,27705,27008,27829,29597,30587,32914,35094,38044,36938,39167,42552,44608,46456,48918,51055,51304,52075,53673
"48073","Cherokee, TX","1","Personal income (thousands of dollars)",1008070,1011716,1028118,1049837,1078678,1173196,1221121,1270496,1369365,1369335,1427399,1467995,1542258,1593438,1648900,1713317,1729665,1749873,1812735
"48073","Cherokee, TX","2","Population (persons) 1/",46790,47007,47136,47832,48315,48751,49162,49669,49976,50447,50944,51093,51292,51111,51219,51594,51926,52182,52592
"48073","Cherokee, TX","3","Per capita personal income (dollars) 2/",21545,21523,21812,21948,22326,24065,24839,25579,27400,27144,28019,28732,30068,31176,32193,33208,33310,33534,34468
"48075","Childress, TX","1","Personal income (thousands of dollars)",117029,126337,131245,140132,142456,147889,142232,158735,167841,171991,171217,184330,171966,191608,185555,196954,200243,210081,219339
"48075","Childress, TX","2","Population (persons) 1/",7676,7531,7428,7411,7366,7205,7214,7148,7123,7030,7070,7026,7097,7054,7194,7167,7196,7281,7291
